User_ID,Timestamp,Alpha_Waves,Beta_Waves,Gamma_Waves,Delta_Waves,Theta_Waves
bb27d3f9,2025-03-24 18:57:26,40.58,69.68,56.23,39.14,21.72
c5e7ceaa,2025-03-24 18:56:02,55.6,27.58,15.7,20.97,23.74
78ea41ca,2025-03-24 19:32:08,40.82,26.72,59.36,28.63,49.01
b9134cc9,2025-03-24 19:17:51,46.65,33.47,20.01,6.82,27.29
c5e7ceaa,2025-03-24 19:23:03,76.9,55.1,21.47,43.37,53.11
ece85c9e,2025-03-24 18:50:30,39.0,56.62,27.55,12.61,19.88
866b55d3,2025-03-24 18:51:41,45.85,48.66,44.91,49.11,24.34
c68eac0d,2025-03-24 19:05:33,38.28,56.76,19.78,34.56,52.87
dd03f568,2025-03-24 18:47:03,38.37,35.43,44.35,24.92,42.85
c5e7ceaa,2025-03-24 19:22:14,49.64,54.71,22.13,18.38,24.73
548859c2,2025-03-24 18:53:37,56.85,30.18,18.62,24.58,48.35
cc07c778,2025-03-24 19:16:44,37.9,48.36,19.85,34.78,30.28
114ee19f,2025-03-24 18:47:19,54.77,38.31,39.21,17.95,37.57
a9f8d8c9,2025-03-24 19:21:46,69.29,43.03,58.57,10.99,48.06
6bf3f07f,2025-03-24 19:00:30,52.0,29.81,54.61,24.04,32.09
c5e7ceaa,2025-03-24 18:59:45,72.93,60.22,54.25,38.65,40.31
4c1646fc,2025-03-24 18:45:52,79.55,44.44,38.48,41.35,20.27
d776f047,2025-03-24 19:28:44,56.42,34.96,22.14,27.0,23.0
9500e92b,2025-03-24 18:49:01,51.59,49.65,27.92,47.08,41.56
b8e82167,2025-03-24 19:04:04,30.43,48.15,43.18,29.77,24.83
936534c7,2025-03-24 19:04:36,63.03,28.88,27.09,17.25,15.42
4bc62d73,2025-03-24 19:10:57,78.55,28.03,39.81,41.99,34.44
b8e82167,2025-03-24 18:49:04,74.31,21.45,34.22,19.78,52.84
c763a829,2025-03-24 19:27:09,44.06,23.71,54.77,10.35,31.74
4c1646fc,2025-03-24 19:10:59,30.76,24.1,33.95,15.94,36.56
50b896fd,2025-03-24 18:48:23,75.67,24.49,37.8,24.71,53.51
96ddd082,2025-03-24 18:47:45,45.69,25.74,53.19,6.53,28.4
a9cf3871,2025-03-24 18:49:45,52.51,66.69,54.41,33.18,18.92
d4b4ed07,2025-03-24 19:16:22,71.85,69.93,36.25,31.69,31.8
50b896fd,2025-03-24 19:03:59,36.85,41.92,44.63,27.15,37.64
ece85c9e,2025-03-24 18:54:31,44.85,66.92,34.15,32.91,18.5
5ccb9454,2025-03-24 19:17:23,70.37,29.36,19.3,34.01,53.35
ece85c9e,2025-03-24 19:04:43,60.05,52.19,59.55,48.75,49.58
c5e7ceaa,2025-03-24 19:03:26,32.79,53.51,40.81,40.65,24.64
b8e82167,2025-03-24 18:45:52,44.16,61.59,22.54,14.75,54.84
